id,character_name,main_storyseries,author,genre,type_of_rep,gender,importance,sexual_orientation,romantic_orientation,relationships,pairing_qpp_or_romantic,rep_noteswarnings,cover
341,Evvi/Steph/Steve Plummett,Holding Onto Day,E.H. Timms,"Fantasy, Science Fiction",Word Used,Enby,Main,Pansexual,Aromantic,"Found family, Friendship",,,
458,Kylee,Skybound,Alex London,"Fantasy, Young Adult",On Page,F,Lead,Asexual,Aromantic,Family (twin brother),,,
342,Nick Seabrooke,County Durham Quad,Jude Tresswell,"Gay Romance, Crime and mystery",Word Used,M,Main,Asexual,Homoromantic,"Found family, QPR",M/M/M/M,"Questionning aro/homoromantic. A lot of introspection as character tries to understand his attraction to a member of a gay, polyamorous quad.",
343,Devi,Belly Up,Eva Darrows,"Contemporary, Young Adult",Word Used,F,Side,Gray-asexual,,Friendship,,Devi is Jewish,
344,Raymond Jaffe,Have You Seen Luis Velez?,Catherine Ryan Hyde,"Contemporary, Literary Fiction",On Page,M,Lead,Asexual,Aromantic,"Family, Friendship",,Raymond is aroace and Black,
345,Devon Blaine,The Caelish Order,A.J. Barber,Urban Fantasy,Word Used,M,Main,Asexual,Aromantic,"Family, friendship, QPP",M/F,,
346,Elatsoe,Elatsoe,Darcie Little Badger,"Fantasy, Young Adult",Word Used,F,Lead,Asexual,,"Family, friendship",,Lipan Apache representation,
347,Landon,Two of a Kind,Alex Whitehall,"Contemporary, romance",Word Used,M,Lead,Asexual,Alloromantic,"Family, romance",M/M,Both partners are on the asexual spectrum but haven't told each other yet at the beginning of the story,
348,Mika,Gasping for Air,Pascal J. Ellen,Contemporary,On Page,Enby,Lead,Demisexual,,Friendship,,,
349,Camila,Favorite,Mayara Barros,Contemporary,Word Used,F,Lead,Asexual,Aromantic,QPP,F/F,,
350,Geslirata,Last Ocean Tide Lost in Sand,Penny Stirling,Science fiction,Word Used,Enby,Main,,Aromantic,"Family (child, siblings)",,,
351,Dominic Lowe,Three Stupid Weddings,Ann Gallagher,"Contemporary Romance, Romantic comedy",Word Used,M,Lead,Asexual,Alloromantic,Romance,M/M,,
352,Janelle “Ellie” Baker,The Sound of Stars,Alechia Dow,"Science Fiction, Young Adult",Word Used,F,Lead,Demisexual,Biromantic,Romance,M/F,Ellie is a fat Black teen with anxiety,
353,Hult,Star Stories,Aurora Lee Thornton,Fantasy,Word Used,F,Main,Asexual,Grey-romantic,"Important friendship, romantic soulmates",M/F,"physical and psychological abuse, off-page rape, childhood abuse",
354,Foriathan “Athan” Klorfyllen,All or None,Aurora Lee Thornton,Fantasy,Word of God,M,Side,,Demiromantic,Family,,"Cupiosexual. Character is GNC, but that is only shown towards the end of the story.",
355,Cassie Harlan,Ice Castle: A Queerplatonic Love Story,Katie Fouks,"Contemporary, Young Adult",Word Used,F,Lead,Asexual,Aromantic,QPP,F/F,,
356,May,The Audacity,Laura Loup,"Humor, Science Fiction",On Page,F,Lead,Asexual,,Friendship,,,
357,Lisa Marie,Retaking Elysium: a Mars Consortium story,M. Darusha Wehm,Science Fiction,Word Used,F,Lead,Asexual,Aromantic,,,,
358,Ling Chan,The Diviners,Libba Bray,Fantasy,On Page,F,Side,Asexual,Homoromantic,"Friendship, romance",F/F,"Appears in book 2, 3 and 4",
359,Rahel Sayana,Chronicles of Alsea,Fletcher DeLancey,"Action, Adventure, Science Fiction",On Page,F,Lead,Asexual,Demiromantic,"Friendship, Family, Found family, QPR",F/F,"F/F QPR. Explicit sex (Not romantic nor a relationship)                                            The word ""Asexual"" is not used in English but rather an equivalent in the language of the alien world the story takes place in. The meaning is however explained and described in some detail as an older woman helps a younger one understand her identity.",
360,Claudia,Full Disclosure,Camryn Garrett,"Contemporary, Young Adult",Word Used,F,Side,Asexual,Homoromantic,"Friendship, romance",F/F,Character is sex positive but uninterested in sex herself. Mentions of character performing sexual acts on her girlfriend.,
361,Zach Greenfeld,Lighthouse Bay,Amy Aislin,"Contemporary, Romance",Word of God,M,Lead,Asexual,Homoromantic,Romance,M/M,Character is on the ace spectrum and questioning,
362,Oyārun,Power to Yield,Bogi Takács,Science Fantasy,Word Used,F,Lead,Asexual,Aromantic,Mentorship,,Neuroatypical and aro ace,
363,Wasp,Archivist Wasp Saga,Nicole Kornher-Stace,"Fantasy, Science Fiction",Word of God,F,Lead,Asexual,Aromantic,Friendship,,,
364,Damian Nettoyer,Voyance,Alex Harrow,Science Fiction,Word Used,M,Lead,Demisexual,,"Friendship, romance",M/M/M,"touch-averse, on-page sexual situations",
365,Crow,The Angel of the Crows,Katherine Addison,"Fantasy, mystery",Word Used,M,Lead,Asexual,,,,"Crow is an angel, which is given as the reason he is asexual. Text links being asexual to being agender. Text implies that asexual people cannot consent to sex and that allosexuality is the default for human beings.",
366,Raven,The Reaper Saga,Eli Kwake,Paranormal Dark Fantasy,Word of God,F,Lead,Asexual,Aromantic,"Found family, QPR",M/F,,
367,Cal Green,Holding Onto Day,E.H. Timms,"Fantasy, Science Fiction",Word Used,M,Lead,Gray-asexual,Grey-romantic,"Found family, Friendship, QPP (deceased partner)",M/M (past),"Cal is Grey-asexual bisexual Grief, Pre-book queer death",
368,Ronoah Genoveffa Elizzi-denna Pilanovani,The Heretic's Guide to Homecoming: Book One: Theory,Sienna Tristen,Fantasy,Word of God,M,Lead,Asexual,Grey-romantic,"Family, Found Family, Friendship, Mentorship",,"Discussion with secondary character about said character's homophobic society, in-world folk story involving sexual relationship and queer character death.",
369,Drow Whiting,Gamechanger,L.X. Beckett,Science Fiction,On Page,M,Lead,Asexual,Aromantic,"Family (Daughter and granddaughter, an AI who is essentially his parent), Friendship",,"Character was sexually assaulted in his early twenties. In the novella, Drow is young and believes himself to be straight.  In the novel, he's 60 years older and has known he's ace/aro for years.",
370,Kamai,Beyond the Black Door,A.M. Strickland,"Fantasy, Young Adult",On Page,F,Lead,Asexual,Demiromantic,"Found family, Friendship, Romance",,"Kamai is demi-biromantic. Kamai is working though some internalized acemisia, resolved on page. Character forces herself into a sexual situation out of a sense of obligation, stops it before it goes very far. The word asexual is not written but a chart is used to help Kamai define her identity,",
371,Amastan,The Chronicles of Ghadid,K.A. Doore,Fantasy,On Page,M,Lead,Asexual,Homoromantic,,,,
372,Kelly Bennett,Green Creek,T.J. Klune,"Fantasy, Romance",Word Used,M,Main,Asexual,Homoromantic,"Family, Romance",M/M,,
373,Belar,From the Dark We Came,J. Emery,Paranormal,Word Used,M,Lead,Demisexual,,"Romance, Enemies to lovers",M/M,,
374,Aramīn,Power to Yield,Bogi Takács,Science Fantasy,Word Used,M,Main,Asexual,Aromantic,Mentorship,,Neuroatypical and aro ace,
375,Andreas,Bisclavret,K.L. Noone,"Paranormal (Shifters), Romance",Word Used,M,Lead,Demisexual,,Romance,M/M,,
376,Rob Decker,Fireland: Jimmy Loves Rob,Sam Burke,"Historical, LGBT",On Page,M,Lead,Asexual,,"Friendship, Marriage",,Rob is married and struggles with the fact that he doesn't like sex. His best friend is in unrequited love with him,
377,Ethan,Two of a Kind,Alex Whitehall,"Contemporary, romance",Word Used,M,Lead,Gray-asexual,Alloromantic,"Family, romance",M/M,Both partners are on the asexual spectrum but haven't told each other yet at the beginning of the story,
378,Molly Andersen,Mrs. Mix Up,Candace Harper,"Contemporary, romance",Word Used,F,Lead,,Demiromantic,Romance,F/F,Molly is a Black demiromantic lesbian. Mentions of aromisia,
379,Christiana,Lilywhite Boys,K.J. Charles,Historical romance,On Page,F,Lead,Asexual,,Romance,M/F,"Trans character. Love interest is also ace. CW: Transphobia, misgendering and deadnaming",
380,Damian Fielding,Scarred Souls,TT Kove,New adult,Word Used,M,Lead,Asexual,Grey-romantic,"Family, Friendship, Romance",M/M,"Asexual is used in the series, but grey-romantic isn't. As character is only ever been interested in BF, grey-romantic is more shown than explicitly stated",
381,Nasmefir,Last Ocean Tide Lost in Sand,Penny Stirling,Science Fiction,Word Used,Enby,Lead,,Aromantic,"Family (parent and extended), friendship/menteeship with an android",,"Grief, Depression",
382,Mitchell,The Revolution of Birdie Randolph,Brandy Colbert,"Contemporary, Young Adult",Word Used,M,Side,Asexual,,"Friendship, Ex-girlfriend",,Character is lead character's ex,
383,Caiden,The Graven,Essa Hansen,Science Fiction,On Page,M,Lead,Demisexual,Alloromantic,"Found family, friendship",,,
384,Thelia,Castle of Lies,Kiersi Burkhart,"Fantasy, Young Adult",On Page,F,Main,Demisexual,,Romance,"F/NB, F/M","Described as 'cold' and 'heartless' by others, manipulative. Incest (cousins). Established as sex-averse, but this characterization seems to vanish as the story progresses",
385,Amanda,Puddin',Julie Murphy,"Contemporary, Young Adult",Word Used,F,Side,Asexual,Biromantic,Friendship,,,
386,Sām-Leuhng,Come Drink With Me,Michelle Kan,Fairytale,On Page,F,Lead,,Aromantic,Platonic soulmate,M/F,,
387,Marianna,MagnifiqueNOIR,Briana Lawrence,Superheroes,Word Used,F,Main,Asexual,,Friendship,,Black and plus size character,
388,Theo Marinos,The Queen of Cups,Ren Basel,Fantasy,On Page,Enby,Lead,Asexual,Arospec,QPR,NB/F,Autistic character. Synesthesia,
389,Madison,The Hidden Library,Meyari McFarland,Fantasy,On Page,F,Lead,Asexual,Aromantic,QPP,F/NB,,
390,Ernest,Kink & Showtunes,Xan West,Romance,Word Used,M,Lead,Demisexual,Queer,Romance,M/F,Ernest is a polyamorous Jewish autistic demiromantic queer fat trans man,
391,Delilah Yang,Anything Resembling Love,S. Qiouyi Lu,,Word Used,Enby,Side,Asexual,,Friendship,,,
392,Wes Cooper,Not Dead Yet,Jenn Burke,"Paranormal, Romance",On Page,M,Lead,Demisexual,Homoromantic,Romance,M/M,"Wes is somewhere between life and death, an ""immortal not-ghost.""",
393,Kara,If It Makes You Happy,Claire Kann,"Contemporary, Young Adult",On Page,F,Side,Asexual,Aromantic,"Friendship, QPP",F/F,"Kara is in a non-exclusive QPR with the lead character. They call themselves ""Ungirlfriends"".",
394,Rachel,Play It Again,Aidan Wayne,"Contemporary, Romance",Word Used,F,Side,Asexual,Aromantic,Family (sibling),,,
395,Marjorie Diaz,Marjorie Diaz,Desdemona Wren,Urban Fantasy,Word Used,F,Lead,Asexual,Alloromantic,Friendship,,Marjorie is asexual and Mexican-American,
396,Alex Dean,Stick Side,Amy Aislin,"Romance, Sport",Word Used,M,Lead,Demisexual,Homoromantic,"Family, Romance",M/M,,
397,Maxine Carmichael,NeoG,K.B. Wagers,Science Fiction,Word Used,F,Lead,Asexual,Alloromantic,"Family, Friendship, Romance",M/F,,
398,Niavin,The Fae Feast,Eka Waterfield,Fantasy,Word Used,M,Lead,Asexual,Alloromantic,,,"Past acemisic microaggressions, pressure on the character to change (in the past). Societal pressure to continue a bloodline. Internalized acemisia. Character used to think there might be something wrong with him and is now a bit more secure, but still considers that his asexuality makes his life harder.",
399,Emily Campbell,The Immortal Journey,Elisa Hansen,Paranormal,Word Used,F,Lead,Asexual,Biromantic,Friendship,,Character is undead,
400,Paige Mahoney,The Bone Season,Samantha Shannon,"Fantasy, Science Fiction",Word of God,F,Lead,Demisexual,Alloromantic,"Friendship, Romance",M/F,,
401,Tara,Rules of Chaos,Dawn R. Schuldenfrei,Fantasy,Word Used,F,Lead,Asexual,Homoromantic,"Friendship, romance",F/F,,
402,Lord Gafford,Dithered Hearts,Chace Verity,"Fantasy, retelling, romance",On Page,M,Main,Pansexual,Aromantic,,,Trans character,
403,Sohmeng Par,Sãoni Cycle,Avi Silver,YA Fantasy,On Page,F,Lead,Pansexual,Arospec,"Family, Found family, QPP",F/NB,Main relationship is between aromantic and alloromantic characters,
404,Ken Montana,Seattle Betas,Meyari McFarland,"Romance, Shifters",Word Used,M,Lead,Asexual,Aromantic,"Found family, Friends, QPP",M/M,"Ken's QPP, Jason is ace and sex-repulsed",
405,Marianne Windmere,No Parking,Valentine Wheeler,"Contemporary, Romance",Word Used,F,Lead,Gray-asexual,Biromantic,"Community, Found family, Romance",F/F,Character is Grey-Asexual Bi,
406,Leila,The Lost Coast,Amy Rose Capetta,"Fantasy, Young Adult",Word Used,Enby,Main,Gray-asexual,,Friendship,,,
407,Tsusiat,Tower in the Crooked Wood,Paula Johanson,"Fantasy, Young Adult",On Page,Enby,Main,Asexual,Aromantic,"Family (siblings), friendship, hereditary community leader, QPR",F/NB,,
408,Olivia Santos,The Paper & Hearts Society,Lucy Powrie,"Contemporary, Middle Grade, Romance",Word Used,F,Lead,Demisexual,Alloromantic,"Friendship, Romance",F/F,,
409,Rachel Forrest,Ice Castle: A Queerplatonic Love Story,Katie Fouks,"Contemporary, Young Adult",Word Used,F,Lead,Asexual,Aromantic,QPP,F/F,,
410,Chikondi,"To Be Taught, If Fortunate",Becky Chambers,Science Fiction,Word Used,M,Main,Asexual,,Friendship,,,
411,Trey Porter,Crush,Caitlin Ricci,"Contemporary, Romance",Word Used,M,Lead,Asexual,,Friendship,,Questioning narrative. Trey learns about asexuality during the course of the story.,
412,Eliza Mirk,Eliza and Her Monsters,Francesca Zappia,"Contemporary, Young Adult",Word of God,F,Lead,Asexual,,"Friendship, Romance",M/F,Anxiety,
413,Elise Golden,The Courtyard Clairvoyant Mysteries,J.J. Brass,Mystery,Word Used,F,Lead,Asexual,Aromantic,Family (niece),,,
414,Karel,The Icefjord Saga,Zaya Feli,Fantasy,On Page,M,Main,Asexual,,,,,
415,Zora Novak,Now Entering Addamsville,Francesca Zappia,"Paranormal, Young Adult",Word Used,F,Lead,Asexual,,"Family, Friendship",,,
416,Sal Vidon,Sal and Gabi,Carlos Hernandez,"Middle Grade, Science Fiction",Word Used,M,Lead,,Aromantic,"Family, Friendship",,Sal is Cuban and has Type 1 diabetes,
417,Dee,And They Don't Kiss at the End,Nilah Magruder,"Historical, Young Adult",On Page,F,Lead,Asexual,,,,Dee is a Black teenager in the process of discovering her identity. Story set in the 1970's.,
418,Dee,Planetfall,Emma Newman,Science Fiction,On Page,F,Lead,Asexual,,,,Character frequently calls her own humanity and ability to feel emotions into question due to her trauma. Considered cold by herself and those around her. Robot themes. CW: Loss of bodily autonomy,
419,Alicia Whittemore,A Book About Life,M B Bunnell,Fiction,On Page,F,Lead,Asexual,Panromantic,"Family, Strong best friend relationship (F/F), Work relationships","M/F, F/F",,
420,Devon,White Hart,SI CLARKE,Science Fiction,Word Used,F,Main,Asexual,Grey-romantic,"Family (close relationship with her father, antagonistic relationship with her mother), Friendships that develop over the course of the book.",,,
421,Imre,Over and Over Again,Cole McCade,Romance,Word Used,M,Lead,Demisexual,Demiromantic,Romance,M/M,,
422,Perenor,Legends of Andelan,Tessa Crowley,Fantasy,On Page,M,Side,Asexual,,,,,
423,Julian,Simply An Enigma,"Brittany Evans, Chelsea Lauren","Contemporary, Young Adult",Word Used,M,Lead,Asexual,,Friendship,,Character learns about asexuality from one of his friend and feels a weight lifted off his shoulders. Questioning,
424,Leah,Eight Kinky Nights,Xan West,"Contemporary, romance",Word Used,F,Lead,Gray-asexual,,Romance,F/F,Leah is autistic and Jewish,
425,Jordan Cross,Human Enough,E.S. Yu,Paranormal Romance,Word Used,M,Main,Gray-asexual,Homoromantic,,M/M,,
426,Sam,Play It Again,Aidan Wayne,"Contemporary, Romance",Word Used,M,Lead,Asexual,Homoromantic,Romance,M/M,"Sam starts identifying as asexual as the story progresses. He learns about asexuality from his love interest, whose sister is aroace.",
427,Nathaniel Fremont,Tarnished Are the Stars,Rosiee Thor,"Science Fantasy, Young Adult",Word Used,M,Main,Asexual,Aromantic,,,Nathaniel doesn't have the words for his identity at first,
428,Josiah Erickson,How to Be,T.J. Klune,"Contemporary, romance",Word Used,M,Lead,Demisexual,Homoromantic,"Friendship, romance",M/M,,
429,Tomas Quiróz,A Quiet Man,Hollis Shiloh,"Paranormal (shifters), romance",Word Used,M,Lead,Asexual,Homoromantic,Romance,M/M,"Character is isolated and lonely in part due to his asexuality. Word ""asexual"" provided by allo love interest",
430,Haley,"Technically, You Started It",Lana Wood Johnson,"Romance, Young Adult",Word Used,F,Lead,Demisexual,,Romance,M/F,Explicit discussions about demisexuality and bisexuality.,
431,Gary Cobalt,Reason,T.J. Berry,Science Fiction,Word Used,M,Main,Asexual,,,,"Gary is half-human, half-unicorn. It is implied by a character that his asexuality is due to to his unicorn origins.",
432,Ariel Corta,Luna,Ian McDonald,Science Fiction,On Page,F,Main,Asexual,,Family,,,
433,Keladry of Mindelan,Protector of the Small,Tamora Pierce,"Fantasy, Young Adult",Word of God,F,Lead,Asexual,Aromantic,Friendship,,,
434,Zach Davis,Ravenswood,Talia Hibbert,"Romance, Contemporary",Word Used,M,Lead,Demisexual,Alloromantic,Romance,M/F,Zach has just realized his demisexuality. Some talks about the social pressure to have sex.,
435,Zoey,Sawkill Girls,Claire Legrand,"Horror, Mystery, Young Adult",Word Used,F,Lead,Asexual,Alloromantic,"Friendship, Romance",M/F,"Zoey is black and asexual. She is possibly biromantic. One character says something offensive about Zoey's asexuality and is immediately called out on it by the other characters. Zoey broke up with her boyfriend because she thinks her asexuality will be a problem for him, but it isn't.",
436,Kitay,The Poppy War,R.F. Kuang,Fantasy,Word of God,M,Main,Asexual,Aromantic,,,,
437,Cira Antares,The Pax Archives,Erica Cameron,"Science Fiction, Young Adult",Word Used,F,Lead,Asexual,Alloromantic,"Family, friendship, romance",F/NB,Cira has a prosthetic arm,
438,Reese,Immoral Code,Lillian Clark,"Contemporary, Young Adult",Word Used,F,Main,Asexual,Aromantic,Friendship,,,
439,Dret Ionto,Star Stories,Aurora Lee Thornton,Fantasy,Word of God,M,Side,Asexual,Grey-romantic,"Friendship, QPR",M/F,"Psychological and physical abuse, childhood abuse, off-page rape",
440,Marcos,Hold,Rachel Davidson Leigh,"Contemporary, Young Adult",Word Used,M,Main,Asexual,Aromantic,Friendship,,,
441,Romeo,The Hereafter Bytes,Vincent Scott,Science Fiction,Word Used,M,Lead,Asexual,Aromantic,Friendship,,Romeo is a ghost in a robot body. His asexuality and aromanticism are not linked to that and were always present.,
442,Noemi,We Were Restless Things,Cole Nagamatsu,"Mystery, Young Adult",Word Used,F,Lead,Asexual,,"Friendship, Romance",M/F,Discussions about asexuality. Love interest is character's step sibling. Character's boundaries in regards to sexuality are not always respected,
443,Katherine,Dread Nation,Justina Ireland,"Alternate history, Horror, Young Adult",On Page,F,Main,Asexual,Aromantic,Friendship,,"Character has to fake interest in a man to accomplish a plan, which leads to discussions about her asexual and aromantic identities",
444,Corin,Arcane Ascension,Andrew Rowe,Fantasy,On Page,M,Lead,Asexual,,"Family, friendship",,Touch averse,
445,Hennessy Lang,Upside Down,N.R. Walker,"Gay romance, LGBTQIA romance",Word Used,M,Main,Asexual,Homoromantic,Friendship,M/M,Both characters are romance positive.,
446,Kihan,Beyond the Black Door,A.M. Strickland,"Fantasy, Young adult",On Page,M,Side,Asexual,,Friendship,,Kihan gets misgendered at some points. He hasn’t yet switched to he/him pronouns for most of the story and is working to get to that point.,
447,Leaf,Belly Up,Eva Darrows,"Contemporary, Young Adult",Word Used,M,Main,Demisexual,,"Friendship, Romance",M/F,Leaf is Romani. He is the love interest of the lead character.,
448,Caleb Riggs,Alpha Heat,Leta Blake,Fantasy,Word Used,M,Main,Asexual,Aromantic,"Found family, Partner",M/M/M,"mpreg, heat",
449,Annette,Belle Révolte,Linsey Miller,"Fantasy, Young Adult",Word Used,F,Lead,Asexual,Biromantic,"Friendship, Romance",F/F,Annette discusses the fact that society sometimes implies she is broken with another character. She is however secure in her identity.,
450,Aphra,The Innsmouth Legacy,Ruthanna Emrys,"Fantasy, Horror",On Page,F,Lead,Asexual,,"Community, Found family",,Aphra is not human,
451,Karenna,The Caelish Order,A.J. Barber,Urban Fantasy,On Page,F,Main,Pansexual,Aromantic,"Friendship, QPP",M/F,,
452,Sam Grant,Faux,E. Davies,Romance,Word Used,M,Lead,Demisexual,Biromantic,"Found family, Family (sibling), Romantic",M/M,,
453,Alice,Return to Wonderland,Tanya Lisle,"Urban Fantasy, Young Adult",Word of God,F,Lead,Asexual,Aromantic,Friendship,,The words appear on page and are explicitly shown later in the series,
454,Hazel Stanczak,The Art of Saving the World,Corinne Duyvis,"Fantasy, Young Adult",Word Used,F,Lead,Asexual,Homoromantic,,,"Hazel is a questioning, asexual lesbian with undiagnosed anxiety",
455,Mack Whitman,"Minuet (Notes from Boston, #4)",A.M. Leibowitz,"Contemporary, romance",Word Used,M,Lead,Bisexual,Aromantic,"Friendship, romance",M/M/F,polyamory,
456,Jessica Stone,Once Upon a Con,Ashley Poston,"Contemporary, Young Adult",Word Used,F,Main,Demisexual,,,,,
457,Daniel,The Stars We Steal,Alexa Donne,"Science Fiction, Young Adult",On Page,M,Main,Asexual,,,,,
459,Liz Drake,Dreams of Shreds and Tatters,Amanda Downum,Horror,Word Used,F,Lead,Asexual,Alloromantic,"Friendship, Romance",M/F,Character is already in an established romantic relationship when the book starts,
460,"Hollis ""Holly""",Aces,Kathryn Burns,Contemporary,Word Used,F,Main,Asexual,Alloromantic,Romance,F/F,Established relationship. Holly comes out as asexual during the book,
461,Martin Easterbrook,Two Rogues Make a Right,Cat Sebastian,Historical Romance,On Page,M,Lead,Demisexual,Homoromantic,Romance,M/M,Chronically ill character,
462,Lady Ruth Constance Chapelstone,Lady Ruth Constance Chapelstone Chronicles,L.C. Mawson,"Historical, Science fiction (steampunk)",On Page,F,Lead,Asexual,Aromantic,"Family, friendship",,Autistic character. Pressure to get married,
463,Lord Rupert Hernedale,Behind These Doors,Jude Lucens,"Historical fiction, romance",On Page,M,Main,Demisexual,,Romance,M/M/F,"Character is on the asexual spectrum, possibly demisexual. In a polyamorous relationship with his wife and his childhood friend",
464,Jordan,Once & Future,"Amy Rose Capetta, Cori McCarthy","Fantasy, Retelling, Young Adult",Word Used,F,Side,Asexual,,Friendship,,Character's sexuality is revealed as a plot twist,
465,Kalanthe Ironheart,The Afterward,E.K. Johnston,Fantasy,On Page,F,Lead,Demisexual,Homoromantic,"Friendship, Romance",F/F,Marriage of convenience to another character to obtain custody of children,
466,Alec,Exit Plans for Teenage Freaks,Nathan Burgoine,"Science Fiction, Young Adult",Word Used,M,Side,Asexual,,Friendship,,,
467,Xania,Queen of Coin and Whispers,Helen Corcoran,"Fantasy, Young Adult",On Page,F,Lead,Demisexual,Homoromantic,"Family, friendship, romance",F/F,,
468,Amelia March,Old Fashioned,K.A. Cook,Fantasy,Word Used,F,Lead,Demisexual,Demiromantic,,,Amelia is trans and autistic. The story is about the character learning the words for what she feels.,
469,Lito val Lucius,The First Sister Trilogy,Linden A. Lewis,Science Fiction,On Page,M,Main,Asexual,Panromantic,,,,
470,Chandni Hansa,Railhead,Philip Reeve,"Science Fiction, Young Adult",On Page,F,Side,Asexual,Aromantic,,,First appears in the second book of the series,
471,Rick,Rick,Alex Gino,"Contemporary, Middle Grade",Word Used,M,Lead,Asexual,,"Family, friendship",,Questioning narrative. Rick learns about asexuality during the course of the story.,
472,Caspian,Dead Magic,Ashia Monet,"Fantasy, Young Adult",Word Used,M,Main,Asexual,,"Found family, friendship",,Caspian is trans,
473,Vale,Switchback,Danika Stone,"Adventure/Survival, Young Adult",Word Used,F,Main,Asexual,Aromantic,Friendship,,,
474,Leonie “Leo” Kolburg,The Stars We Steal,Alexa Donne,"Science Fiction, Young Adult",On Page,F,Lead,Demisexual,,"Friendship, Romance",M/F,,
475,Deedee,All the Birds in the Sky,Charlie Jane Anders,"Fantasy, Science Fiction",Word Used,F,Side,Asexual,,Friendship,,,
476,Tulla,Star Stories,Aurora Lee Thornton,Fantasy,Word of God,F,Side,Pansexual,Aromantic,"Friendship, QPR",M/F,"physical and psychological abuse, childhood abuse, off-page rape",
477,Holland Stone,Lighthouse Bay,Amy Aislin,"Contemporary, Romance",Word of God,M,Main,Gay,Arospec,Romance,M/M,Character is arospec and questioning,
478,Theodora,"Red, from the Heartwood",Penny Stirling,"Horror, fantasy, romance",Word Used,Enby,Lead,,Arospec,"Romance, qpr",F/NB,Character is a dryad,
479,Gerald,Royal Rescue,A. Alex Logan,Fantasy,On Page,M,Lead,Asexual,Aromantic,"Friendship, QPR",M/M,Some external and internalized acemisia that is largely challenged and addressed,
480,Ravenna (Raven Nabijee),Daugment,August Niehaus,Science Fiction,On Page,F,Main,Asexual,Heteroromantic,Friendship,,,
481,Amaya,Scavenge the Stars,Tara Sim,"Fantasy, Young Adult",On Page,F,Lead,Demisexual,Alloromantic,"Friendship, Romance",M/F,,
482,Ashleigh,Camp,L.C. Rosen,"Contemporary, Young Adult",Word Used,F,Main,Demisexual,Alloromantic,"Friendship, Romantic crush",,,
483,Pen Nowen,Interface,Lucy Mihajlich,"Science fiction, Young Adult",Word of God,F,Lead,Asexual,Aromantic,"Family, friendship",,Author has stated that the character will discover her identity in the third book,
484,,,,,,,,,,,,,
485,Jordan O’Neill,Upside Down,N.R. Walker,"Gay romance, LGBTQIA romance",Word Used,M,Lead,Asexual,Homoromantic,Friendship,M/M,Both characters are romance positive.,
486,Jayson Santos,Jayson the Witch,Edwin Betancourt,Fantasy,On Page,M,Lead,Asexual,Homoromantic,"Friendship, Husband",M/M,,
487,Katarina,Spellster Series,Aldrea Alien,"High Fantasy, Romance",On Page,F,Main,Asexual,Homoromantic,,,Character is kissed by lead who believes it to be a dream and immediately apologizes.,
488,Ezra Greene,Paint the Stars (Free Fall #3),"Christina Lee, Nyrae Dawn","Contemporary, Romance",Word Used,M,Lead,Demisexual,Homoromantic,"Friendship, romance",M/M,Character is somewhat isolated and avoids relationships,
489,,,,,,,,,,,,,
490,Thom Castillo,Earnest Ink,Alex Hall,"Fantasy, Thriller",Word Used,F,Main,Asexual,,Friendship,,,
491,Stan Kamarzyn,Lilywhite Boys,K.J. Charles,Historical romance,On Page,M,Lead,Asexual,,"Friendship, romance",M/F,Love interest is also ace,
492,Ree,Tombtown,Victoria Corva,Fantasy,On Page,F,Main,Asexual,Panromantic,"Family, Friendship, Mentor",F/M,Ree is still coming to terms with her asexuality and author has stated her journey will continue in the next book.,
493,Alistair Click,Blood and Clockwork,Katey Hawthorne,"Steampunk, Romance",Word Used,M,Lead,Asexual,Alloromantic,Romance,M/M,,
494,Thomas Lister,More than enough,TT Kove,Contemporary,Word Used,M,Main,Asexual,Biromantic,"Family, Romantic",m/m,Ace character participates in sexual activity with his bisexual boyfriend,
495,Grace Ryan,Meet You By Hachiko,Loren Greene,Young Adult,On Page,F,Lead,Asexual,Grey-romantic,"Friendship, QPR",M/F,Questioning aro character,
496,Vehyn,Beyond the Black Door,A.M. Strickland,"Fantasy, Young Adult",On Page,M,Side,Asexual,,,,Vehyn is the villainous love interest of the main character,
497,Katrien,Sorcery of Thorns,Margaret Rogerson,"Fantasy, Young Adult",On Page,F,Side,Asexual,Aromantic,Friendship,,"While it is strongly implied in the book, the author has also confirmed that Katrien is on the Aro/Ace spectrum.",
498,Nix,Playing With Hellfire,Jessie Thomas,Paranormal,On Page,F,Lead,Asexual,Biromantic,"Found family, friendship, romance",,,
499,Korila Daralkaen,Star Stories,Aurora Lee Thornton,Fantasy,Word of God,F,Main,Demisexual,Panromantic,"Family, romance (soulmate)",M/F,Character is a trans woman. Mentions of transphobic parents,
500,Sabine Lin,The network,Cindy Zhang,Science Fiction,Word Used,F,Lead,Asexual,Biromantic,"Found family, family (offscreen), friendship",F/F,Character is either biromantic or panromantic (unspecified). The main F/F relationship is human/alien; a background F/NB/NB relationship is an alien form of queerplatonic.,
501,Hazel,Hazel's Theory of Evolution,Lisa Jenn Bigelow,"Contemporary, Middle Grade",Word Used,F,Lead,Asexual,Aromantic,"Family, Friendship",,The words Asexual and Aromantic are used in an author's note. The character doesn't use them herself.,
502,Jake,Scar Ghyll Levels,Jude Tresswell,"Coming of age, Historical romance",Word of God,M,Lead,Asexual,Homoromantic,,M/M,Short description of intimacy within ace-allo relationship,
