id,character_id,story_title,series_or_anthology,genre,story_length,type_of_rep,character_importance,rep_noteswarnings,other_noteswarnings,cover
379,291,Never Heroes: Yellow Hearts,Never Heroes,Dark Fantasy,Webseries,On Page,Lead,,"Violence, strong language, implicit sexual content, death, fantasy religion",
380,292,Daughters of Britain,,Historical,Novel (long),On Page,Side,Mention of rape,Mention of rape,
381,293,Aether Eternius,,Fantasy,Webseries,On Page,Lead,Non-human. Entire race is non-binary and asexual.,"Minor blood warnings, character death and violence",
382,294,A Dance of Water and Air,Elemental Magicae,"Fantasy, Romance",Novel (long),On Page,Lead,,"Parental Death (prior to story), pairing is m/trans m",
383,295,Learning Curves,Learning Curves,"Contemporary, Romance",Novella,Word Used,Lead,,,
384,295,Ghosts of Halloween,Learning Curves,"Contemporary, Romance",Short story,On Page,Lead,,"On page panic attack, shown pregnancy",
385,295,Wrapped Up In You,Learning Curves,"Contemporary, Romance",Novella,Word Used,Lead,,,
386,296,The Tropic of Serpents,Memoirs of Lady Trent,"Fantasy, Historical",Novel (long),On Page,Main,Fleeing an unwanted marriage. Experiments with lesbianism.,,
387,296,Voyage of the Basilisk,Memoirs of Lady Trent,"Fantasy, Historical",Novel (long),Word of God,Side,,,
388,296,Labyrinth of Drakes,Memoirs of Lady Trent,"Fantasy, Historical",Novel (long),Word of God,Side,,,
389,297,For Better or Worse,,"Contemporary, Romance",Novella,Word Used,Lead,,,
390,298,Novis,,Science Fiction,Novel (short),On Page,Main,"Moments of microaggressions against aces and aros, fade to black sex","Gore, Violence, soldier deaths, PTSD, survivor's guilt, death of a parent, medical drug use making someone high, loss of limbs",
391,300,When We Find Our Voices,,Fantasy,Short Story,On Page,Main,Links asexuality and aromanticism to biology. Aromanticism is implied.,,
392,301,Of Ashes and Ocean,Beneath Yggdrasil's Shadow,Fantasy,Short Story,On Page,Lead,,,
393,302,From the Same Star,Kismet,"Contemporary, Romance",Novella,Word Used,Main,,"Grief, Car accident",
394,303,Merlin in the Library,The Agency,"Contemporary, Romance",Short story,Word of God,Lead,,Character is still recovering from injuries,
395,303,His Quiet Agent,The Agency,Contemporary Romance,Novella,On Page,Main,"Is nicknamed ""the Alien Agent""",Off screen injury in line of duty as a spy. Brief hospitalization for injuries. Mild food issues. Off screen death of other character's parent.,
396,304,Faelost,The Bacra Chronicles,Fantasy,Novel (long),On Page,Lead,Sex indifferent,Anxiety is a central theme,
397,305,Summer Bird Blue,,"Contemporary, Young Adult",Novel (long),Word Used,Lead,"Multiracial (Japanese, Hawaiian, and white), Questioning narrative, prefers not to use labels yet but those indicated here are those she thinks best describe her.","Car accident, sibling death, grief, panic attack, near drowning, suicide ideation",
398,306,Running With the Pack,,"Contemporary, Romance, Young Adult",Novella,Word Used,Main,"Anti-aro microaggressions. Polyamory, some underlying Allo Saviour narrative.","bullying, homophobia, queerphobia, and missing friend",
399,307,Beneath the Citadel,,"Fantasy, Young Adult",Novel (long),Word Used,Main,"Alys is Black, fat, and has anxiety. Likely aromantic, but that is never confirmed.","Content warnings for : loss of a loved one, torture, abuse, murder, death, captivity, medical experimentation, panic and anxiety attacks, depictions of blood, and heavy depictions of grief and trauma",
400,308,The Adventure of the Incognita Countess,Blood-Thirsty Agent,"Fantasy, Science Fiction",Novella,Word of God,Side,,"Pulp fiction with vampires, so lots of blood and violence. Setting is the Titanic, so lots of deaths.",
401,308,The Adventure of the Dux Bellorum,Blood-Thirsty Agent,"Fantasy, Science Fiction",Novella,On Page,Side,,"Pulp fiction with vampires, so lots of blood and violence. Setting is the Western Front of World War I, so lots of bodies.",
402,309,The Adventure of the Incognita Countess,Blood-Thirsty Agent,"Fantasy, Science Fiction",Novella,Word of God,Main,Villain,"Pulp fiction with vampires, so lots of blood and violence. Setting is the Titanic, so lots of deaths.",
403,309,The Adventure of the Dux Bellorum,Blood-Thirsty Agent,"Fantasy, Science Fiction",Novella,On Page,Main,Villain,"Pulp fiction with vampires, so lots of blood and violence. Setting is the Western Front of World War I, so lots of bodies.",
404,310,The Adventure of the Incognita Countess,Blood-Thirsty Agent,"Fantasy, Science Fiction",Novella,Word of God,Side,Appears only in memories,"Pulp fiction with vampires, so lots of blood and violence. Setting is the Titanic, so lots of deaths.",
405,310,The Adventure of the Dux Bellorum,Blood-Thirsty Agent,"Fantasy, Science Fiction",Novella,Word of God,Side,Appears only in memories,"Pulp fiction with vampires, so lots of blood and violence. Setting is the Western Front of World War I, so lots of bodies.",
406,311,The Melankholia Project,The Melankholia Series,"Adventure, Dystopia",Novel (short),Word of God,Main,Has a close platonic relationship with her male partner,"Written by A. N. Mouse. Violence, character death, passing reference to assault",
407,311,The Melankholia Effect,The Melankholia Series,"Adventure, Dystopia",Novel (long),Word of God,Side,Has a close platonic relationship with her male partner,"Written by Ace Layton. Violence, character death, passing reference to assault",
408,312,The Melankholia Project,The Melankholia Series,"Adventure, Dystopia",Novel (short),On Page,Main,Starts as a Villain,"Written by A. N. Mouse. Violence, character death, passing reference to assault",
409,312,The Melankholia Effect,The Melankholia Series,"Adventure, Dystopia",Novel (long),Word of God,Side,,"Written by Ace Layton. Violence, character death, passing reference to assault",
410,313,Odd,Odd Series,Adventure,Novel (short),Word of God,Main,,Character Death. Story contains no romantic subplot in the main cast,
411,314,The Ashen Path,,"Adventure, Romance",Novel (short),On Page,Lead,Bi when attraction occurs,Violence,
412,315,Lost Names,,"Science Fiction (Cyberpunk), Drama",Novel (long),On Page,Main,Trans guy with anxiety.,"Character death, abuse, explicit sex scenes",
413,316,Kea's Flight,Kea's Flight,Science Fiction,Novel (long),Word Used,Main,Neurodivergent ace. Short term angst while coming to term with her aceness. aAce lesbian relationship is between two important secondary characters,"Bigoted villains, ableism, homophobia, some violence, offscreen minor character death",
414,317,The Invading,M.R.,Fantasy,Novel (short),On Page,Side,,,
415,317,No Turning Back,M.R.,Fantasy,Novel (short),On Page,Main,Attempted sexual assault,,
416,317,The Shadow Monardch,M.R.,Fantasy,Novel (short),On Page,Main,,,
417,317,Awoken Destructrion,M.R.,Fantasy,Novel (short),On Page,Main,,,
418,317,Magic's Realm,M.R.,Fantasy,Novel (short),On Page,Main,,,
419,318,No Turning Back,M.R.,Fantasy,Novel (short),On Page,Side,,,
420,318,The Shadow Monardch,M.R.,Fantasy,Novel (short),On Page,Main,,,
421,318,Awoken Destructrion,M.R.,Fantasy,Novel (short),On Page,Main,,,
422,318,Magic's Realm,M.R.,Fantasy,Novel (short),On Page,Side,,,
423,319,The Invading,M.R.,Fantasy,Novel (short),On Page,Main,,,
424,319,No Turning Back,M.R.,Fantasy,Novel (short),On Page,Main,,,
425,319,The Shadow Monardch,M.R.,Fantasy,Novel (short),On Page,Main,,,
426,319,Awoken Destructrion,M.R.,Fantasy,Novel (short),On Page,Side,,,
427,319,Magic's Realm,M.R.,Fantasy,Novel (short),On Page,Side,,,
428,320,The Invading,M.R.,Fantasy,Novel (short),On Page,Side,,,
429,320,No Turning Back,M.R.,Fantasy,Novel (short),On Page,Side,,,
430,320,The Shadow Monardch,M.R.,Fantasy,Novel (short),On Page,Side,,,
431,320,Awoken Destructrion,M.R.,Fantasy,Novel (short),On Page,Side,,,
432,320,Magic's Realm,M.R.,Fantasy,Novel (short),On Page,Side,,,
433,321,Awoken Destructrion,M.R.,Fantasy,Novel (short),On Page,Side,,,
434,321,Magic's Realm,M.R.,Fantasy,Novel (short),On Page,Side,,,
435,322,The Shadow Monardch,M.R.,Fantasy,Novel (short),On Page,Side,,,
436,322,Awoken Destructrion,M.R.,Fantasy,Novel (short),On Page,Side,,,
437,322,Magic's Realm,M.R.,Fantasy,Novel (short),On Page,Side,,,
438,323,An Unexpected Invitation,,Fantasy,Novella,Word Used,Lead,,"Mentions of severe motion sickness, weddings",
439,324,Soft on Soft,,"Contemporary, Romance",Novella,Word Used,Main,"""Demisexual"" is the word used. Explicit sex. Mentions of anti-ace remarks.",Discussion of parent's death.,
440,325,"The Birds, The Bees, And You And Me",,"Contemporary, Young Adult",Novel (long),Word Used,Main,,"Internalised acemisia and aromisia, medical procedures, and hospitals. Sometimes explicit about sex.",
441,326,Natural Sorcery,Jordan Sanders,Urban Fantasy,Novel (short),On Page,Lead,Protagonist makes a slight mention that she might be touch averse,,
442,326,Terrestrial Magic,Jordan Sanders,Urban Fantasy,Novel (long),On Page,Lead,,,
443,327,Who I Was with Her,,"Contemporary, Young Adult",Novel (long),Word Used,Side,Julia figures out her asexuality throughout the book.,"The story deals with the main character's grief over the death of her girlfriend and the fact that the relationship was secret as she is not out. CW: death, loss of a loved one, grief, alcoholism (parental), sexual content",
444,328,All or None,Star Stories,Fantasy,Novel (long),Word of God,Lead,death of romantic partner,"Enemies to lovers. Implied sexual situations, suggestive language, teenaged romance with implied sexuality, physical and psychological abuse, implied off-page rape, childhood abuse (not by family), death of romantic partner, violence, violence against children, bigotry towards fictional races, mentions of past transphobia/misgendering",
445,329,All or None,Star Stories,Fantasy,Novel (long),Word of God,Side,,"Enemies to lovers. Implied sexual situations, suggestive language, teenaged romance with implied sexuality, physical and psychological abuse, implied off-page rape, childhood abuse (not by family), death of romantic partner, violence, violence against children, bigotry towards fictional races, mentions of past transphobia/misgendering",
446,330,Jane Steele,,"Historical, Romance",Novel (long),On page,Side,Character is Sikh,"Jane Eyre retelling. CW: Murder, blood, child abuse, PTSD, war, colonialism",
447,331,Come Drink With Me,Tales of the Thread,Fairytale,Short story,On page,Lead,,,
448,332,Snowed In: Zack and Richard,,Romance,Short story,Word Used,Lead,,,
449,333,Rising from Ash,Forged by Fire,Contemporary Romance,Novel (long),Word Used,Lead,"Explicit sex with very clear consent. Ashley's friend Cole is asexual and non-binary. The other main character, Phoenix, is allo.",,
518,383,Nophek Gloss,The Graven,Science Fiction,Novel (long),On Page,Lead,,"Additional ace and aro spectrum side characters. CW: Violence, trauma",
450,334,Soulless,Soulless,Dark fantasy,Novel (short),On Page,Lead,Character's romantic orientation is not mentioned in this entry of the series,"CW: Graphic violence and gore, discussions of mental illness and trauma, mentions of suicide",
451,335,Make Your Move,Gamer Girls,Romantic comedy,Novel (short),Word Used,Lead,,,
452,335,She's Got Game,Gamer Girls,Romantic comedy,Novel (short),Word Used,Main,,,
453,335,Against the Rules,Gamer Girls,Romantic comedy,Novel (short),Word Used,Main,,,
454,336,Izzy and the Right Answer,,Romance,Novel (short),Word Used,Lead,"Izzy is femme, neuroatypical and has anxiety",,
455,337,Three Stupid Weddings,,"Contemporary Romance, Romantic comedy",Novella,Word Used,Lead,,"Ace/Ace romance. CW for eating disorder, discussions of emotional and verbal abuse",
456,338,Bones and Bourbon,Deadly Drinks,Urban Fantasy,Novel (long),Word Used,Lead,Retz is possessed by a necromancer,"Gore, Violence",
457,339,Blue Steel Chain,Trowchester Blues,"Contemporary, Romance",Novel (short),Word Used,Lead,Sexual assault,"The two lead character are each dealing with getting out of their own separate abusive relationship. CW: Grooming, on page domestic abuse, on page physical abuse, emotional abuse, sexual assault",
458,340,Hell Skin,Tales of the Wanderer,Fantasy,Novel (long),Word of God,Main,,,
459,340,Stone Heart,Tales of the Wanderer,Fantasy,Novel (long),Word of God,Main,,,
460,340,The Sunmane Pass,Chronicles of Underrealm,Fantasy,Short story,Word of God,Main,,,
461,340,Shadeborn (Nightblade Epic #4),Nightblade Epic,Fantasy,Novel (long),Word of God,Side,Brief appearance,,
462,340,Darkfire (Nightblade Epic #3),Nightblade Epic,Fantasy,Novel (long),Word of God,Side,Brief appearance,,
463,340,Blood Lust,Tales of the Wanderer,Fantasy,Novel (long),Word of God,Main,,CW: Grief and mourning,
464,341,Holding Onto Day,,"Fantasy, Science Fiction",Short Story,Word Used,Main,,"Genderfluid character, shifts name with gender. Grief, Pre-book queer death, Discussion of gun violence",
465,342,A Share in a Secret,County Durham Quad,"Crime and mystery, LGBTQ",Novel (short),Word Used,Main,Navigation of asexual/allosexual relationship with one member of a polyamorous quad,,
466,342,Body Parts And Mind Games,County Durham Quad,"Gay romance, Crime and mystery",Novel (short),Word Used,Main,References to sexual activity and character's musing in regards to degree of acceptable intimacy,One explicit description of intimacy between two members of the polyamorous quad. Character continues to explore his relationship with the quad.,
467,342,Ace in the Picture,County Durham Quad,"Gay romance, Crime and mystery",Novel (short),On page,Main,"Questionning aro/homoromantic. Much introspection as character tries to understand his attraction to a member of a gay, polyamorous quad.","Short depictions of gay intimacy (not involving the ace character). Character is a detective investigating the gay, polyamorous suspect in an art fraud",
468,343,Belly Up,,"Contemporary, Young Adult",Novel,Word Used,Side,Devi is Jewish,,
469,344,Have You Seen Luis Velez?,,"Contemporary, Literary Fiction",Novel (short),On Page,Lead,Raymond is aroace and Black,"CW: Gun violence, Racism, Death",
470,345,Hunter's Blessing,The Caelish Order,Urban Fantasy,Novel (long),Word Used,Main,,,
471,345,Into the Wilds,The Caelish Order,Urban Fantasy,Novel (short),Word Used,Main,,,
472,346,Elatsoe,,"Fantasy, Young Adult",Novel (long),Word Used,Lead,Lipan Apache representation,CW: Death of a family member,
473,347,Two of a Kind,,"Contemporary, romance",Short story,Word Used,Lead,Both partners are on the asexual spectrum but haven't told each other yet at the beginning of the story,,
474,348,Gasping for Air,Queerly Loving #2,Contemporary,Short story,On Page,Lead,,,
475,349,Favorite,,Contemporary,Short story,Word Used,Lead,QPP,,
476,350,Last Ocean Tide Lost in Sand,Capricious #11,Science Fiction,Anthology,Word Used,Main,,"Grief, depression, a character experiences a stillbirth. Available in Capricious #11.",
477,351,Three Stupid Weddings,,"Contemporary Romance, Romantic comedy",Novella,Word Used,Lead,,"Ace/Ace romance. CW for eating disorder, discussions of emotional and verbal abuse",
478,352,The Sound of Stars,,"Science Fiction, Young Adult",Novel (long),Word Used,Lead,Ellie is a fat Black teen with anxiety,"CW: Violence, discrimination, death, executions, mind control, anxiety, parental alcoholism",
479,353,All or None,Star Stories,Fantasy,Novel (long),Word of God,Main,"physical and psychological abuse, off-page rape, childhood abuse","Enemies to lovers. Implied sexual situations, suggestive language, teenaged romance with implied sexuality, physical and psychological abuse, implied off-page rape, childhood abuse (not by family), death of romantic partner, violence, violence against children, bigotry towards fictional races, mentions of past transphobia/misgendering",
480,354,All or None,Star Stories,Fantasy,Novel (long),Word of God,Side,"Cupiosexual. Character is GNC, but that is only shown towards the end of the story.","Enemies to lovers implied sexual situations, suggestive language, teenaged romance with implied sexuality, physical and psychological abuse, implied off-page rape, childhood abuse (not by family), death of romantic partner, violence, violence against children, bigotry towards fictional races, mentions of past transphobia/misgendering",
481,355,Ice Castle: A Queerplatonic Love Story,Queerplatonic Love Story,"Contemporary, Young Adult",Novella,Word Used,Lead,,,
482,356,The Audacity 2: Time Warp,The Audacity,"Humor, Science Fiction",Novel (short),On Page,Lead,,,
483,356,The Audacity,The Audacity,"Humor, Science Fiction",Novel (short),On Page,Lead,,,
484,357,Retaking Elysium: a Mars Consortium story,,Science Fiction,Novella,Word Used,Lead,,Prequel to the game The Martian Job,
485,358,Lair of Dreams,The Diviners,Fantasy,Novel (long),On Page,Side,,"CW: Racism, eugenics,  the KKK, ableism, homophobia, murder, violence, domestic violence, torture",
486,358,The King of Crows,The Diviners,Fantasy,Novel (long),On Page,Side,,"CW: Racism, eugenics, ableism, homophobia, violence",
487,358,The Diviners,The Diviners,Fantasy,Novel (long),,,Character only appears in later books,"CW: Murder, violence",
488,358,Before the Devil Breaks You,The Diviners,Fantasy,Novel (long),On Page,Side,Character's asexuality is more explicitly on page in this book,"CW: Racism, eugenics, ableism, homophobia, violence, attempted rape",
489,359,Resilience,Chronicles of Alsea,"Action, Adventure, Science Fiction",Novel (long),Word used,Lead,,,
554,412,Eliza and Her Monsters,,"Contemporary, Young Adult",Novel (long),Word of God,Lead,Anxiety,"Anxiety, depression",
490,359,Outcaste,Chronicles of Alsea,"Action, Adventure, Science Fiction",Novel (long),On page,Lead,"The word ""Asexual"" is not used in English but rather an equivalent in the language of the alien world the story takes place in. The meaning is however explained and described in some detail as an older woman helps a younger one understand her identity.","CW: Death, rape, statutory rape, abuse, torture, war",
491,360,Full Disclosure,,"Contemporary, Young Adult",Novel (long),Word Used,Side,Asexual character is sex positive but uninterested in sex herself. Mentions of asexual character performing sexual acts on her girlfriend.,Explicit sex talk,
492,361,Christmas Lane,Lighthouse Bay,"Contemporary, Romance",Novella,Word of God,Lead,Character is on the ace spectrum and questioning,Age gap romance. Holland is Zach's former teacher.,
493,362,Power to Yield,Clarkesworld Magazine #116,Science Fantasy,Novella,Word Used,Lead,Neuroatypical and aro ace,"CW: Pain exchange (non sexual), ableism between differently neuroatypical people, detailed discussion of mourning (no one dies in-story), past political oppression, consensual sadism, stalking",
494,363,Latchkey,Archivist Wasp Saga,"Fantasy, Science Fiction",Novel (long),Word of God,Lead,,,
495,363,Archivist Wasp,Archivist Wasp Saga,"Fantasy, Science Fiction",Novel (short),Word of God,Lead,,,
496,364,Empire of Light,Voyance,Science Fiction,Novel (short),Word Used,Lead,touch-averse on-page sexual situations,"CW: Graphic violence, gun violence, executions, mild gore, mentions of past physical and sexual abuse, panic attack, death of supporting characters, assisted suicide, substance abuse (alchohol and drugs), overdose, explicit sexual content, mentions of sex work, sexual relationship that begins in a negotiated contract for sexual services, on and off page sexual situations involving BDSM",
497,365,The Angel of the Crows,,"Fantasy, mystery",Novel (long),Word Used,Lead,"Crow is an angel, which is given as the reason he is asexual. Text links being asexual to being agender. Text implies that asexual people cannot consent to sex and that allosexuality is the default for human beings.","CW: Internalized ableism, ableism, racism, slur use (against Romani people)",
498,366,Reaper,The Reaper Saga,Paranormal Dark Fantasy,Novel (short),Word of God,Lead,,"CW: Major character death, mental illness,  classism, racism",
499,367,Holding Onto Day,,"Fantasy, Science Fiction",Short Story,Word Used,Lead,"Grief, Pre-book queer death","Grief, Pre-book queer death, Discussion of gun violence",
500,368,The Heretic's Guide to Homecoming: Book One: Theory,,Fantasy,Novel (long),Word of God,Lead,"Discussion with secondary character about said character's homophobic society, in-world folk story involving sexual relationship and queer character death.",Lead character comes from a culture where genderfluidity is the norm.,
501,369,"Freezing Rain, a Chance of Falling",Gamechanger,Science Fiction,Novella,On Page,Lead,"Character was sexually assaulted in his early twenties. In the novella, Drow is young and believes himself to be straight.  In the novel, he's 60 years older and has known he's ace/aro for years.",Sexual assault,
502,369,Gamechanger,Gamechanger,Science Fiction,Novel (long),On Page,Main,"Character was sexually assaulted in his early twenties. In the novella, Drow is young and believes himself to be straight.  In the novel, he's 60 years older and has known he's ace/aro for years.",,
503,370,Beyond the Black Door,,"Fantasy, Young Adult",Novel (long),On Page,Lead,"Kamai is working though some internalized acemisia, resolved on page. She forces herself into a sexual situation out of a sense of obligation, stops it before it goes very far.  The word asexual is not written but a chart is used to help Kamai define her identity. The ace love interest is villainous.",Book also contains an ace love interest and an ace/trans side character.  Content warnings: Emotionally abusive romantic relationships (mostly called out on page). Attempted suicide. Physical violence. Birth control manipulation resulting in a pregnancy (Not the main character). Misgendering of a trans character who has not yet switched pronouns and is in that process.,
504,371,The Perfect Assassin,The Chronicles of Ghadid,Fantasy,Novel (long),On Page,Lead,,Queer side characters,
505,371,The Unconquered City,The Chronicles of Ghadid,Fantasy,Novel (long),On Page,Side,,Queer side characters,
506,371,The Impossible Contract,The Chronicles of Ghadid,Fantasy,Novel (long),On Page,Side,,Queer side characters,
507,372,Heartsong (Green Creek #3),Green Creek,"Fantasy, Romance",Novel (long),Word Used,Main,,"CW: Violence and gore, death, kidnapping",
508,373,From the Dark We Came,,Paranormal,Novel (short),Word Used,Lead,,"Sex and sexual situations, violence and injury, minor character death, blood (including blood drinking and blood magic)",
509,374,Power to Yield,Clarkesworld Magazine #116,Science Fantasy,Novella,Word Used,Main,Neuroatypical and aro ace,"CW: Pain exchange (non sexual), ableism between differently neuroatypical people, detailed discussion of mourning (no one dies in-story), past political oppression, consensual sadism, stalking",
510,375,Bisclavret,,"Paranormal (Shifters), Romance",Short Story,Word Used,Lead,,,
511,376,Fireland: Jimmy Loves Rob,,"Historical, LGBT",Novel (short),On Page,Lead,"Rob is married and struggles with the fact that he doesn't like sex. Talks of his allosexual partner's needs ""not being met."" His best friend is in unrequited love with him.","CW: homophobia, acemisia",
512,377,Two of a Kind,,"Contemporary, romance",Short story,Word Used,Lead,Both partners are on the asexual spectrum but haven't told each other yet at the beginning of the story,,
513,378,Mrs. Mix Up,,"Contemporary, romance",Novel (short),Word Used,Lead,Molly is a Black demiromantic lesbian. Mentions of aromisia,"CW: on page explicit sexual content, mentions of acemisia and aromisia, mentions of queerphobia, mentions of racism, mentions of sexism, forced proximity, accidental nudity in forced proximity, mentions of unfriendly divorce, car accident, cancer scare",
514,379,The Rat-Catcher's Daughter,Lilywhite Boys,Historical romance,Novella,On Page,Lead,"Trans character. Love interest is also ace. CW: Transphobia, misgendering and deadnaming","Ace/Ace romance. CW: Transphobia, misgendering, deadnaming, threats of violence, violence",
515,380,Scarred Souls,Souls of London,New Adult,Novella,Word used,Lead,"Asexual is used in the series, but grey-romantic isn't. As character is only ever been interested in BF, grey-romantic is more shown than explicitly stated","Self-harm, attempted suicide",
516,381,Last Ocean Tide Lost in Sand,Capricious #11,Science Fiction,Anthology,Word used,Lead,,"Grief, Depression, another character experiences a stillbirth. Available in Capricious #11.",
517,382,The Revolution of Birdie Randolph,,"Contemporary, Young Adult",Novel (long),Word Used,Side,Character is lead character's ex,"CW: Addiction (drugs, alcohol)",
519,384,Castle of Lies,,"Fantasy, Young Adult",Novel (long),On Page,Main,"Described as 'cold' and 'heartless' by others, manipulative. Incest (cousins). Established as sex-averse, but this characterization seems to vanish as the story progresses.","CW: mentions and threats of rape, violence, disfiguremisia, anti ace/aro/sex work content, incest (cousins), alcoholism, explicit sex.",
520,385,Puddin',Dumplin',"Contemporary, Young Adult",Novel (long),Word Used,Side,,"CW: Bullying, fatphobia, racism",
521,386,Come Drink With Me,Tales of the Thread,Fairytale,Short story,On page,Lead,,,
522,387,I Am Magical,MagnifiqueNOIR,Superheroes,Novel (short),Word Used,Main,Black and plus size character,Novel with illustrations and some comic-format pages. CW: Mentions of racism and sexism faced by the characters,
523,388,The Queen of Cups,,Fantasy,Short story,On Page,Lead,Autistic character. Synesthesia,CW: Drowning,
524,389,Storm Necklace,The Hidden Library,Fantasy,Novella,On Page,Lead,,"Threats and fear of loss of bodily autonomy, Conspiracy to enslave the main character",
525,390,Their Troublesome Crush,Kink & Showtunes,Romance,Novella,Word Used,Lead,Ernest is a polyamorous Jewish autistic demiromantic queer fat trans man,"Story also provides  Jewish, polyamorous, demiromantic, pansexual, bisexual, trans, fat, autistic, disabled, diabetic, depression and PTSD representation.",
526,391,Anything Resembling Love,,,Short story,Word Used,Side,,"CW: depictions of sexual assault, exploration of rape culture",
527,392,Give Up the Ghost,Not Dead Yet,"Paranormal, Romance",Novel (short),On Page,Lead,"Wes is somewhere between life and death, an ""immortal not-ghost.""","CW: On-page sex, blood, violence, suicide mentions",
528,392,Graveyard Shift,Not Dead Yet,"Paranormal, Romance",Novel (short),On Page,Lead,"Wes is somewhere between life and death, an ""immortal not-ghost.""","CW: Gore, violence, character death, kidnapping, depression",
529,392,Not Dead Yet,Not Dead Yet,"Paranormal, Romance",Novel (long),On Page,Lead,"Wes is somewhere between life and death, an ""immortal not-ghost.""",,
530,393,If It Makes You Happy,,"Contemporary, Young Adult",Novel (long),On Page,Side,"Kara is in a non-exclusive QPR with the lead character. They call themselves ""Ungirlfriends"".","The lead character, Winnie, is Black, fat, queer and polyamorous.CW: Racism, fatphobia, emotional abuse, queerphobia",
531,394,Play It Again,,"Contemporary, Romance",Novel (short),Word Used,Side,"Rachel and her brother, Dovid, are Jewish.","The main characters are Dovid, who is Jewish, blind and bisexual and Sam, who is asexual and homoromantic. Content warning for parental abuse, queerphobia",
532,395,Marjorie Diaz's Unfortunate Introduction to Magical High Society,Marjorie Diaz,Urban Fantasy,Novel (short),Word Used,Lead,Marjorie is asexual and Mexican-American,LGBTQIA+ and POC cast,
533,395,Marjorie Diaz's Unfortunate Introduction to Ancestral Politics & Foul Play,Marjorie Diaz,Urban Fantasy,Novel (short),Word Used,Lead,Marjorie is asexual and Mexican-American,"LGBTQIA+ and POC cast. CW: Gore, body horror, major character death",
534,396,On the Ice,Stick Side,"Romance, Sport",Novel (short),Word Used,Lead,,CW: Homophobia,
535,397,A Pale Light in the Black,NeoG,Science Fiction,Novel (long),Word Used,Lead,,The other two lead characters are a lesbian and a bisexual woman.,
536,398,Sinners,The Fae Feast,Fantasy,Novel (short),Word Used,Lead,"Past acemisic microaggressions, pressure on the character to change (in the past). Societal pressure to continue a bloodline. Internalized acemisia. Character used to think there might be something wrong with him and is now a bit more secure, but still considers that his asexuality makes his life harder.","CW: Graphic violence, death, cruelty, drugs",
537,398,Veiled,The Fae Feast,Fantasy,Novel (short),Word Used,Lead,,,
538,399,The Company of Death,The Immortal Journey,Paranormal,Novel (long),Word Used,Lead,Character is undead,"CW: Death, attempted suicide (to avoid becoming a zombie), blood",
539,400,The Song Rising,The Bone Season,"Fantasy, Science Fiction",Novel (long),Word of God,Lead,,,
540,400,The Bone Season,The Bone Season,"Fantasy, Science Fiction",Novel (long),Word of God,Lead,,"CW: Kidnapping, drugging, slavery, master/slave relationship, torture, blood-drinking, attempted rape",
541,400,The Mime Order,The Bone Season,"Fantasy, Science Fiction",Novel (long),Word of God,Lead,,,
542,401,Liminal Hearts,Rules of Chaos,Fantasy,Novel (short),Word Used,Lead,,,
543,402,Dithered Hearts,,"Fantasy, retelling, romance",Novel (short),On Page,Main,Trans character,"Cinderella retelling. CW: Romantic relationship between step-siblings, abuse toward queer characters (mental, emotional, and on-the-page physical abuse), abuse toward a disabled character, anti-queer rhetoric and microaggressions, swearing, gendered insults, mentions of deceased parents, mentions of substance abuse and addiction, misgendering, including accidental and willful instances, explicit sex scenes (chapters identified in book)",
544,403,Two Dark Moons,The Sãoni Cycle,YA Fantasy,Novel (short),On Page,Lead,Main relationship is between aromantic and alloromantic characters,"Off-screen child death, mentions of suicide",
545,404,Jason,Seattle Betas,"Romance, Shifters",Novella,Word Used,Lead,"Ken's QPP, Jason is ace and sex-repulsed","Past abuse, including severe parental abuse. Abuse recovery",
546,405,No Parking,,"Contemporary, Romance",Novel (short),Word Used,Lead,Character is Grey-Asexual Bi. The other woman involved in the romance is also bi.,"Marianne is in her 50s. The book touches on various subjects such as food, local politics, queer found family and community.",
547,406,The Lost Coast,,"Fantasy, Young Adult",Novel (long),Word Used,Main,,Cast of young queer witches,
548,407,Tower in the Crooked Wood,,"Fantasy, Young Adult",Novella,On Page,Main,,"CW: Side character death, slavery",
549,408,Read with Pride,The Paper & Hearts Society,"Contemporary, Middle Grade, Romance",Novel (long),Word Used,Lead,,The characters are fighting a new policy implemented in their school that restricts access to LGBTQ+ books after a parent complained.,
550,408,The Paper & Hearts Society,The Paper & Hearts Society,"Contemporary, Middle Grade, Romance",Novel (long),Word Used,Main,,,
551,409,Ice Castle: A Queerplatonic Love Story,Queerplatonic Love Story,"Contemporary, Young Adult",Novella,Word Used,Lead,,,
552,410,"To Be Taught, If Fortunate",,Science Fiction,Novella,Word Used,Main,,"CW: Attempted suicide, Animal death",
553,411,Crush,,"Contemporary, Romance",Novel (short),Word Used,Lead,Questioning narrative. Trey learns about asexuality during the course of the story.,"On page sex. Homophobia, references to past child abuse",
556,413,I Spy a Sabotaged Scaffold,The Courtyard Clairvoyant Mysteries,Mystery,Novella,Word Used,Lead,,,
557,413,I Spy a Courtyard Casanova,The Courtyard Clairvoyant Mysteries,Mystery,Novella,Word Used,Lead,,,
558,413,I Spy a Psychic Eye,The Courtyard Clairvoyant Mysteries,Mystery,Novella,Word Used,Lead,,The mystery being investigated is a character's wheelchair being stolen,
559,414,Claws,The Icefjord Saga,Fantasy,Novel (short),On Page,Main,,,
